repository,state,title,label,body
lkorth/screen-notifications,open,Not compatible with fingerprints,[],"When screen-notifications active the Screen to turn on, wait for screen turn offf.
Press power button or home button to turn on screen ,then try use fingerprints to unlouk.
My phone prevent fingerprints ,tell me use password.
![qq 20171019173825](https://user-images.githubusercontent.com/16631174/31764627-55c93848-b4f4-11e7-825c-ffac7fb7b32f.jpg)
"
lkorth/screen-notifications,open,remove warning about “com.google.android”,[],"WARNING: Ignoring Android API artifact com.google.android:android:2.1_r1 for appDebug
 WARNING: Ignoring Android API artifact com.google.android:android:2.1_r1 for appRelease"
lkorth/screen-notifications,open,Unlock with fingerprint still requires additional unlock,[],"This does not happen 100% of the time.
When I unlock the phone with the fingerprint scanner it shows the pattern which I also have to unlock.
This does not happen when I disable the app.

Phone: Oukitel K6000 Pro
Android: 6.0
App version: 0.14.2"
lkorth/screen-notifications,closed,Permission <READ_PHONE_STATE> is declared but not used,[],"Hello, I'm Denis Bogdanas, a research assistant at Oregon Stat University.
I'm working on a tool that automatically introduces runtime permission checks and requests for Android 6 apps. As part of this study I analyzed this app. I was looking at the way permissions are referred in the code.

This app declares permission <READ_PHONE_STATE> in the apk manifest, but doesn't have any code that requires them. It is possible that source code doesn't declare the permissions. I only analyzed apk builds from f-droid. Yet android build mechanism may introduce them when the app uses certain libraries:

https://commonsware.com/blog/2015/06/25/hey-where-did-these-permissions-come-from.html

It won't create any problems on Android 6, but on Android 5- users may wonder why the app needs these permissions and be skeptical of installing the app.

Do you think this is an issue?

best regards,
Denis
"
lkorth/screen-notifications,open,Use accelerometer and other fixes,[],"Mainly i wanted to use the accelerometer, so that i can have e.g. my phone on my desk; a notification comes in and then only if i lift it up, the screen goes on. I don't have any lookscreen or so, so i usually also have the option on to scroll down the statusbar.

But then i also updated the gradle tool builds etc. and had problems that the service didn't started on Android M(N5, 6.0.1r3). Therefore i added a binder to the service and manually invoked it. Even then sometimes the user needs to restart the device(added that as a hint to the preferences).

Next thing was to have an option to test the whole app. This is also nice for a user, so i added this option to the settingsfragment.

Lastly i wanted to avoid that the whole service fires, when the screen is already on (if the status bar scroll is on this can lead to some weird behaviour a la ""ups why did my statusbar scrolled down?!"")
"
lkorth/screen-notifications,open,Marshmallow Update: Notification Sounds Disabled,[],"I have a Nexus 5 and recently updated to Marshmallow. With the new Android Update, when I have Screen Notifications enabled I don't get any notification sounds when my phone is locked. 

Notifications include, but are not limited to:
- text messages (I use the Messenger App)
- e-mails (eg. Cloud Magic, Gmail)
- What's App

Screen still lights up and vibrations work.
"
lkorth/screen-notifications,open,Disables itself in services,[],"Every few hours I notice the notifications aren't turning the screen on. I open the app the ""Screen Notifications Service"" box is unticked. I tick it and it takes me to the android notification access page. The screen notifications box is enabled, so i have to disable and re-enable it for it to work.

My phone is a Samsung S6
"
lkorth/screen-notifications,open,high memory usage (~70MB),[],"I've been running Screen Notifications for about a day now, and noticed that's it's consuming 70MB of RAM.  I have the proximity sensor disabled, and ""open notification tray"" enabled.   The stock ""Running Apps"" tool indicate about 70MB of memory consumed (the largest of any running service), while another tool I have (OS Monitor) is reporting the individual process at 44 MB.  Both of these numbers are troublingly high.

Let me know what other diagnostics I can provide.

Thanks,
Frank

Motorola Razr M/Luge
version 0.12.0
"
lkorth/screen-notifications,closed,[Feature request] Breathing screen = on -> off -> on -> off -> on -> off.....,"[Label(name=""enhancement""), Label(name=""wontfix"")]","Hi, i think it is good idea to add breathing screen function. Keeping screen constantly on makes battery life very short.

Of course this option should be configurable:  time on, time off and time ultimately off.
"
lkorth/screen-notifications,closed,Changing display turn off timer?,[],"Since this is kinda the only app that I'm using that is somehow related to this, I have to ask if Screen notifications could, by any chance, be the cause of my display sleep timer resetting to 2min. It only happens sometimes and I can't really reproduce it by changing stuff in SN, but yeah. I just figured I'd ask here if anything in your code _could_ maybe cause that.
"
lkorth/screen-notifications,open,Add flash light support,[],"I would like to see the flash light blinking when a notification arrives.

Possible options:
- number of flashes
- duration of a flash
- maximum brightness (think this needs root)
"
lkorth/screen-notifications,open,Translation Syncing,[],"Setup the [Transifex client](http://docs.transifex.com/developer/client/)
"
lkorth/screen-notifications,closed,Wake length selector visibility ,[],"Unreadable on Lollipop
"
lkorth/screen-notifications,open,Add brightness level option,[],"Allow users to set the brightness level the screen is woken up at.

Possible way to set the brightness: http://stackoverflow.com/questions/7646865/changing-screen-brightness-programmatically-as-with-the-power-widget
"
